id_cancion,nombre_cancion,nombre_artista,tipo_album,fecha,popularidad_cancion,duracion,explicito,id_album,id_artista
0Q62IdpJhxo5KwhSyvkHz3,Genre Police,S3RL,single,2014-11-06,35,196499,False,6IydBEjINYrZL7yxT50Aw9,11aa081aKYUzmeFm0yHdT2
2SRHNn97rMNVYdtmH1gmd5,SIREN,Lilyisthatyou,single,2023-12-07,47,136543,False,6jyKlst4HrUaxqjVwysHLK,4ExEi8SBEd3QRgwbGw2nHC
17mYJ0a4KeROL4NFGi1MYS,The Genre Police,AronChupa,single,2024-05-17,46,183642,True,0eCghxCXkfCgxEbAGssStE,5vCOdeiQt9LyzdI87kt5Sh
15vsrW1wCOsUC3rTHrEjv2,Addiction/Prescription,poptropicaslutz!,single,2024-03-21,33,162030,True,3f2N0XuzYKvT4sqgi0K1Jd,08DN8ZbOSeuTELiQjc4Jl8
6zqN4ORMWBQcmC0urCiPRz,Kaka Illa Seemayilae - Language: Tamil; Genre: Pop/Folk,Pushpavanam Kuppusamy,album,1999-01-01,21,262386,False,6DCVRTHSPrPfeQjKhIIWvn,7mlyuQNP02Vp1Jyio9KJrO
557owyJudyX46eZPNT2WNa,Lovers in Arms,poptropicaslutz!,single,2024-04-18,27,230400,False,6dKhQrbJRrlfBAxKLg0eH4,08DN8ZbOSeuTELiQjc4Jl8
0fBIOjOfPEDVE7XE7lx802,VIBES (Pop),Nessacary,album,2024-06-10,0,191156,True,4CL0OTPgbcLnD0gI2fcFOm,5WoBCbil7HAYw3o6y89kTS
4lIPBE9NfD6S6DCdKoP5ox,Guestlist'r,poptropicaslutz!,album,2024-05-10,31,96204,False,2czlawQI78XQkCDXwih3eg,08DN8ZbOSeuTELiQjc4Jl8
4093ZPCf8e1KpjOceHzvlE,Productive,Pattawiguys,single,2021-01-05,0,185000,False,1k10ygj300td8SxU56T4aG,1CAo97ONqtSXRdiJPui6MD
21DOCzEdMdZhgaRxP4zQem,Addiction/Prescription,poptropicaslutz!,album,2024-05-10,26,162030,True,2czlawQI78XQkCDXwih3eg,08DN8ZbOSeuTELiQjc4Jl8
1yKYlYR9yJEaRFrGMyc49h,Backseat Summer,Pink Shark Music,album,2018-06-08,2,178259,False,6vhSVl45yJskUnwWirVUYS,7FVdkItXumBiCzJI0TIMqT
6aa8OAFfDv09cKJo2j4oRK,True Colors,poptropicaslutz!,album,2024-05-10,25,133888,False,2czlawQI78XQkCDXwih3eg,08DN8ZbOSeuTELiQjc4Jl8
2vgYrXTvYjhcLonpSaVHLw,Happy Birthday (Aggro Bedroom Pop 2024),Happy Birthday Songs,album,2024-05-16,7,118400,False,2DWTf1el2MqZLTYa5tqrtE,4yjDVfayc6bIBLuyDWuw5W
